ranking;project;language;stars;stars_todays;forks
1;p-e-w/heretic;Python;6893;666;688
2;seerr-team/seerr;TypeScript;9225;283;609
3;obra/superpowers;Shell;53324;725;4049
4;steipete/gogcli;Go;3767;469;316
5;alibaba/zvec;C++;4331;1,473;230
6;openclaw/openclaw;TypeScript;204273;4,201;37024
7;SynkraAI/aios-core;JavaScript;1099;194;382
8;ashishps1/awesome-system-design-resources;Java;32692;457;7293
9;steipete/summarize;TypeScript;3316;117;214
10;hummingbot/hummingbot;Python;16881;565;4411
11;anthropics/claude-quickstarts;Python;14361;102;2425
12;davila7/claude-code-templates;Python;20650;110;1930
13;OpenCTI-Platform/opencti;TypeScript;8311;13;1223
